sample_size,LR,RF,XGB,CatBoost,ANN
20,0.42730930083097507,-0.07693768591806545,-0.4119273056616482,0.17355969501757457,-0.6727315973949292
21,-0.4035563850045844,-1.735347569773955,-4.098866663686145,-1.105811376767149,-6.137000225475333
22,0.6228578500185,0.33062774635742886,-0.0480808813098184,0.34909742508085556,-1.341252841132968
23,0.25491653595869324,0.006435515684342597,-0.3026979349598472,-0.008702056341860609,-1.189384297387647
24,-0.019537576609719665,-0.36022079525969736,-0.8790461323461323,-0.30870346926755465,-0.3236264487049484
25,0.2534453483673357,-0.11610627514254165,-0.37121240713575615,-0.02298647372218403,-0.41932115426550587
26,0.23848553867662053,-0.14457098962888615,-0.6760393858741758,-0.0816098545458666,-1.289458335088251
27,0.3948231005500353,0.1498889404490952,-0.25373123624478444,0.11714475642201787,-0.1860867933905175
28,0.31709335343329836,0.23836346629693703,-0.04624950056294867,0.34228782467277497,0.06527914036131346
29,-1.9589611691266786,-0.4781578113538272,-2.3073849458283027,-1.0745247108533502,-0.8795381397797927
30,-0.5669242097038601,-0.33394506984950795,-0.6744101518557629,-0.40646899232359834,-2.3985186598889756
31,-0.07646174075329278,-0.06175482259243499,-0.6420492977322502,-0.13154189221228427,0.02374411652277386
32,0.42078798257760874,0.3828112609784326,0.21752206309729744,0.28099249743201876,0.11645292291617981
33,0.21824482629143568,0.17955142263587826,0.0007201960488006475,0.21325968314320026,0.32342954106131794
34,-0.014856684158658772,-0.04744541353313059,-0.17815422694482463,0.03566455516126914,-0.05476890371248886
35,0.29565176148300354,0.13975574087385945,-0.41487672687603505,0.0926508178674064,-0.03732443349415142
36,0.40338265090946646,0.3628880608362791,0.15159754163384037,0.2945295754967743,0.2598779900713876
37,0.33177905835130084,0.326094007442999,-0.03753178895066851,0.3131280424674578,0.3585244092061058
38,0.055229541119183476,0.14643876345066711,-0.293643969403672,0.11541468657696399,-0.1562079519798528
39,0.06600644232932447,0.1800178013785843,-0.32102179390893026,0.10198103325201462,-1.103817382151678
40,0.3558768917593456,0.15101057934520476,-0.33664202125599224,-0.013746737461205472,-0.20788228044632023
41,0.19394730912440847,0.164179731149874,0.08717777322991242,0.09717707617237373,-0.053782032195006324
42,0.2734073277538439,0.036471842289319635,-0.17148847659013972,-0.033935436267876984,-0.3284995043254354
43,0.20977137858635167,0.3109313803060062,-0.15313878269646325,0.18397664499310626,0.09042586666069155
44,0.2628348685771791,0.3786574553881471,0.27973666665926833,0.27358738948850975,0.0308496214443597
45,0.19063417067637417,0.19465286103497864,-0.1129451755999055,0.00755186739153868,-0.07990463545740789
46,0.2302451951193567,0.18597398139881852,-0.09446715630896829,0.05437930629181218,-0.28214489434916634
47,0.5147545509524647,0.31503066467858326,-0.2699922896311743,0.25892711056879164,0.15490270864656
48,0.3630530789611388,0.19607901123748656,0.05056922116336917,0.1904014377658859,0.34760981080794046
49,0.3092877089839214,0.35042667482028556,0.1758370003892154,0.29411464412403976,0.11200769477357339
50,0.4402756625499801,0.301581168618713,0.06531660443687937,0.28434908263910363,0.4821520753334735
51,0.3961903620301492,0.3165585259348992,-0.35432909586751127,0.33394386152189964,0.4935088631611125
52,0.4059437016008151,0.23109468637871305,-0.02131325493203695,0.17312114929443728,0.2575416872382095
53,0.4163577525089185,0.2289065986675904,-0.10098342593396903,0.14623858916573532,0.2426119145762052
54,0.2358655649516012,0.24487719594560078,-0.032140919608457996,0.2722135573721718,0.11537826922611641
55,0.4346201052907486,0.24666291601585488,0.05857205707356787,0.21289620079608285,0.41968502531233165
56,0.5945930995403697,0.3754758678870302,0.026129476338248712,0.2703339546969602,0.21283431694301153
57,0.46827007108319096,0.38640290392119914,0.1745590796732617,0.43631074439594997,0.37153513509367564
58,0.48436326295920995,0.35862973247993685,-0.09204343987317823,0.33332083213856023,0.3678856411056025
59,0.5201121760635473,0.417098977950748,0.26918529137345415,0.42207460749677334,0.38826257817177534
60,0.5393635954296632,0.36163617041903084,0.0956864079072717,0.31541142589848803,0.28728816855909295
61,0.4824901187664298,0.44289528725385774,0.2439021950189076,0.44919304045744674,0.4015945494466785
62,0.3011075584277886,0.23238858414002656,-0.0029572108589937863,0.24127391542353563,0.22743811553977444
63,0.5484748933476487,0.39175823050247793,0.17654231592437936,0.40350598802394605,0.39327089393629516
64,0.4734791543572922,0.31837120523358714,0.07043027338358812,0.30343597302222375,0.35415700994989924
65,0.3357108412069353,0.2108982558866987,-0.15564095001358286,0.29775164710763474,0.22408332255578625
66,0.5064226776188381,0.3805226725096737,0.09523273961540706,0.4494060238369798,0.3901766581583267
67,0.6263825203688455,0.4458364487851603,0.09785447973531244,0.448415947103394,0.5091372471216239
68,0.45691959620907135,0.22172593652371986,-0.25078518382086956,0.21514857030898105,0.28065463338724783
69,0.6305138114559191,0.5227571125817014,0.14758574466508942,0.5185191429009445,0.5425441342341769
70,0.609333216718956,0.5204087368897126,0.2652393102737606,0.5235953789628993,0.2734292968079208
71,0.6091066462575261,0.48162890021894944,0.18170985741849277,0.5392778291234818,0.4978597756516983
72,0.5958328672304798,0.48995895728473515,0.2941875984285244,0.47697362990895187,0.5237234893972896
73,0.5569438839040094,0.394688690925819,0.08198193904828946,0.4637957689025692,0.5308994974316452
74,0.531585826876478,0.37322123826391096,0.22087080779931112,0.423773676963817,0.4323263423817322
75,0.40061099753309126,0.19946357008686533,-0.22390159053758674,0.24092571286738068,0.21786116184293874
76,0.5284263738457795,0.3111180751655945,0.08242941553966225,0.2966231047055107,0.34118840847483956
77,0.5025112518564342,0.25607928141395053,0.025252537062968573,0.2242851779753597,0.42391432573741905
78,0.5775321361712823,0.4485036595365064,0.24728020891316255,0.4119944743048837,0.41983016519041394
79,0.5731087692245799,0.48754866716496137,0.227032543401044,0.4789551793129367,0.5055145842648935
80,0.583600768764375,0.48942115346590587,0.33522683664041364,0.5042205298681347,0.5156167384633246
81,0.5712680480552694,0.49448421589101976,0.3732774501908264,0.5089973485537558,0.5263834132645957
82,0.5103282012908906,0.4669901189673961,0.267157233845135,0.5031709688017661,0.4449213788714002
83,0.5589754461929562,0.45712521609830015,0.2979316752222057,0.46655557153176586,0.36454089616510216
84,0.5859102789698004,0.4233783535278176,0.20176224985799998,0.431503966558534,0.3790736301736183
85,0.6119286519087507,0.4435571446054542,0.1417798223138556,0.4636591725780802,0.5542253470570534
86,0.5436536238760111,0.3988100593671529,0.19510512996852464,0.40984587410544454,0.48880166193411567
87,0.6022609261401397,0.4546660149794097,0.2823866197920303,0.45126392153559036,0.48725327784274947
88,0.5872903877158191,0.48622708763818456,0.3866975938779608,0.486547725520497,0.5520339305902917
89,0.5882572131240413,0.46809045023460927,0.3632715548489906,0.4915132220600884,0.545957490186927
90,0.5941815057481497,0.4659209592978376,0.35827185972489456,0.5248738043497155,0.4646828129013099
91,0.5921072077407638,0.3847153813689802,0.2317204540903132,0.44457236692266894,0.46624583104650286
92,0.6411981078022263,0.44182952824045285,0.3046890769202683,0.4552634286743055,0.344928019698602
93,0.6612561871598528,0.5140442586430742,0.41556677305614614,0.5349599101890631,0.5727396052980949
94,0.6559883366748883,0.5139658290798106,0.42786415207329453,0.5394761913169657,0.4560046716710625
95,0.5910316318325686,0.4454965492736088,0.3611258530619385,0.501485671543897,0.4240412218363959
96,0.6163634258020794,0.5120966564912027,0.46905474540481984,0.5546000048274978,0.5826664135243164
97,0.6015214248602164,0.5338094608618118,0.4619970935979758,0.584637465481425,0.46723809191407534
98,0.6428718787281048,0.5481657538139109,0.41625714975535333,0.5736748049579958,0.5691365721495862
99,0.6038078431536903,0.451609058318616,0.3609130235127389,0.5177966379136866,0.5517699584916596
100,0.648415406467117,0.6069835720410086,0.5962854161509606,0.6203183700238066,0.6282885351190113
101,0.6732815398450323,0.5545821329039132,0.5492295745615408,0.5429846155286604,0.5940906997082298
102,0.5877435064313593,0.4858546173346741,0.37485000004636626,0.5549101643161879,0.39878139261496304
103,0.6238528011692128,0.5484472225218582,0.43963798262503334,0.6018359829823716,0.6206934630226195
104,0.6298505382667482,0.5195714567150064,0.3315561062015401,0.5705007041282019,0.5556387997970261
105,0.6317422614335643,0.5234279518590274,0.35188602689235204,0.5640854441988001,0.5149636121670077
106,0.6926268607079498,0.5744053592818992,0.45284229010398336,0.6433173960628908,0.6533779693449111
107,0.6434761571993877,0.5375017612373801,0.3986315797060551,0.5845031819991313,0.47619455861063376
108,0.668882746021247,0.5608823569778704,0.400250115258578,0.6140012512312948,0.6328409550036158
109,0.6540093949966831,0.5163056196357259,0.35477206442402187,0.6088364392972954,0.5856704553253769
110,0.6360344621311788,0.49046803278871665,0.3601318751839459,0.585959856107585,0.6135731682053424
111,0.6681733960394262,0.5786444901984825,0.39365741556699985,0.6032754649452696,0.6130298728240202
112,0.6183692199848231,0.5323936261166594,0.4491491811661154,0.6083570022664577,0.5699311216620786
113,0.6144945420210348,0.5177337608675879,0.4119637055892957,0.567114565041331,0.5777115738462791
114,0.6187074796817089,0.5256147970322356,0.4845507991155973,0.589360486865322,0.5688846821848492
115,0.6118008346173348,0.5310946348476914,0.4294424529673915,0.5950051699354836,0.533396576105883
116,0.6852837083263288,0.5944606976823372,0.47350656483571696,0.6494703715080465,0.6026884817137389
117,0.658352041267941,0.6097019189432696,0.47005950035012506,0.6526394611718576,0.585439438356474
118,0.6134278917949392,0.5400316551984721,0.4582877050365971,0.5882854352264253,0.49505208310887844
119,0.608270860589029,0.5205706543814843,0.39968117855270907,0.5670526710833895,0.5172937746431756
120,0.6638539045372649,0.6140355138332394,0.5303786044801583,0.6606929273533686,0.6006610176533071
121,0.6518591224066693,0.5647097140818258,0.40117389752562926,0.6236347761214034,0.5557531910587711
122,0.61797164893919,0.5767795325147033,0.4538645032024884,0.6027617126292072,0.6101689959391401
123,0.5698685245866958,0.5083315116932104,0.3787935082881468,0.579931883333827,0.5270295055487625
124,0.6599930179803477,0.5945116026975653,0.45175532467103424,0.6338612555941614,0.5935671661901155
125,0.6454528011165281,0.5447335502420557,0.4304397893074592,0.5589063367413244,0.6116198914415575
126,0.6435125324828788,0.5804807293537045,0.3846424964369488,0.6288115013787445,0.6028492241327331
127,0.5957726828931971,0.5456145392358462,0.31398975959086306,0.5878592629040611,0.5332679011233524
128,0.6509219412889101,0.6026826982269538,0.47867216396178447,0.6491951150641213,0.5435122351163553
129,0.6188892007690379,0.5552520867059364,0.4131820311451744,0.5824470922663524,0.5190116351233129
130,0.5972383550638553,0.5543216496927583,0.4756178998223244,0.5855422741642059,0.5302511713589104
131,0.6093261281196428,0.578016491532601,0.46029778809902117,0.5774905057237714,0.5410101610281368
132,0.6017437166987019,0.5715849646401607,0.46496482675681267,0.5982275661530119,0.5442223345620263
133,0.595974591965314,0.5588259998506245,0.4455522737295926,0.5761958361320246,0.4289821461688913
134,0.6478700774573465,0.5830779503555042,0.38501564035308544,0.6188710938574155,0.6199202369024581
135,0.6127712775581433,0.5463270676356776,0.39175374596864254,0.5639694749858396,0.5541267272148462
136,0.6177426410106641,0.5924202731730356,0.5196280213404477,0.6009996259432018,0.5236947329318188
137,0.5940244756508012,0.5048757386162501,0.40723659278089813,0.5035622349421953,0.5595633329070754
138,0.6100624495411061,0.5280686891668387,0.4070584547113122,0.5440962193370923,0.5329481396046749
139,0.6072752680632824,0.5139938024286119,0.38555529119491366,0.5353294263785726,0.5215683675437189
140,0.6286989071354089,0.5123208763851526,0.36914311998611476,0.5444453719411823,0.5425591001744096
141,0.6208247287612148,0.5199486861196629,0.3514116720419618,0.507044271867974,0.5021557350661845
142,0.668252926906838,0.5548702123194298,0.362289631943345,0.5808113595827809,0.625598470016478
143,0.6321676891556859,0.5075948834287477,0.36674243756778463,0.5183088194285511,0.5633901226896552
144,0.6304017482175278,0.4962455911557006,0.3779102015060828,0.5085189764016579,0.44662034899436553
145,0.6403945653306832,0.553823443665854,0.4402651598684021,0.5501444734261172,0.6002320535775681
146,0.6296006370710556,0.5456601599853028,0.49571606835334137,0.5524861607512216,0.5218297413102206
